company_name,business_segment,metric_period,gross_margin_pct,metric_basis,source_doc,source_date,confidence,notes
ASE Technology Holding,EMS,FY2025,9.1,EMS_business_gross_margin,https://www.prnewswire.com/news-releases/ase-technology-holding-co-ltd-reports-its-unaudited-consolidated-financial-results-for-the-fourth-quarter-and-the-full-year-of-2025-302679779.html,2026-02-12,high,EMS business gross margin retained separately; not packaging/testing.
ASE Technology Holding,packaging_testing_ATM,4Q2025,26.3,ATM_business_gross_margin,https://www.prnewswire.com/news-releases/ase-technology-holding-co-ltd-reports-its-unaudited-consolidated-financial-results-for-the-fourth-quarter-and-the-full-year-of-2025-302679779.html,2026-02-12,high,4Q25 ATM gross margin.
ASE Technology Holding,packaging_testing_ATM,FY2025,23.5,ATM_business_gross_margin,https://www.prnewswire.com/news-releases/ase-technology-holding-co-ltd-reports-its-unaudited-consolidated-financial-results-for-the-fourth-quarter-and-the-full-year-of-2025-302679779.html,2026-02-12,high,ATM business includes packaging and testing.
ASML Holding N.V.,company,FY2025,52.8,gross_margin,https://www.asml.com/investors/annual-report/2025,2026-02-18,high,ASML 2025 annual report highlights: gross margin.
Advanced Micro Devices Inc.,company,FY2025,50,gross_margin,https://ir.amd.com/news-events/press-releases/detail/1276/amd-reports-fourth-quarter-and-full-year-2025-financial-results,2026-02-03,high,GAAP gross margin for FY2025.
Applied Materials Inc.,company,Q3FY2025,48.8,gross_margin,https://ir.appliedmaterials.com/news-releases/news-release-details/applied-materials-announces-third-quarter-2025-results,2025-08-14,high,Applied Materials Q3 FY2025 GAAP gross margin.
Lam Research Corporation,company,DecQ2025,49.6,gross_margin,https://www.prnewswire.com/news-releases/lam-research-corporation-reports-financial-results-for-the-quarter-ended-december-28-2025-302673080.html,2026-01-28,high,Lam Research December 2025 quarter GAAP gross margin as percent of revenue.
Micron Technology Inc.,data_center,FY2025,52,data_center_gross_margin,https://investors.micron.com/static-files/5fb98d73-2134-4446-8d1b-0f90285f6c02,2025-09-23,high,Micron FY2025 data center business gross margin from investor presentation.
NVIDIA Corporation,company,4QFY2026,75.0,gross_margin,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-fourth-quarter-and-fiscal-2026,2026-02-25,high,GAAP gross margin for Q4 FY2026.
SMIC,foundry,4Q2025,19.2,quarterly_gross_margin,https://smicuat.webfoss.com/en/site/news_read/7949,2026-02-10,high,SMIC Q4 2025 results report gross margin.
TSMC,foundry,FY2025,59.9,company_gross_margin_used_as_foundry_proxy,https://investor.tsmc.com/sites/ir/annual-report/2025/2025%20Annual%20Report_E.pdf,2026-04-17,medium,TSMC is mainly pure-play foundry; annual report reports company gross profit margin.
Taiwan Semiconductor Manufacturing Company Limited,foundry,FY2025,59.9,gross_margin,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-01/00fe50f72b38d74e6b9b066398f020f337cd4e9d/4Q25%20Management%20Report.pdf,2026-01-16,high,TSMC 2025 gross margin.
United Microelectronics Corporation,foundry,FY2025,29.0,gross_margin,https://www.umc.com/en/IR/ir_overview,2026-06-17,high,UMC investor overview: gross margin in 2025.
YAGEO,passive_components,FY2025,36.2,company_gross_margin_used_as_passive_components_proxy,https://yageogroup.com/SalesResources/ResourceLibrary/item/17786,2026-03-01,medium,Yageo is passive components-focused; page/search result reports gross margin 36.2 percent.
onsemi,company_consolidated,Q3FY2025,37.9,GAAP_gross_margin,https://www.onsemi.com/company/news-media/press-announcements/en/onsemi-reports-third-quarter-2025-results,2025-10,high,Q3 2025 GAAP gross margin.
GlobalFoundries Inc.,foundry,Q2FY2025,24.2,GAAP_gross_margin,https://gf.com/news-and-events/news/globalfoundries-reports-second-quarter-2025-financial-results/,2025-08,high,Q2 2025 gross margin.
Nanya Technology Corporation,company_consolidated,Q4FY2025,18.5,quarterly_gross_margin,https://www.nanya.com/en/Activity?Action=IR_investorcalendar_FileName&Id=4276&column=PressRelease,2026-01,high,Quarterly gross margin cited in FY2025 release.
"Macronix International Co., Ltd.",company_consolidated,Q2FY2025,15.6,quarterly_gross_margin,https://www.mxic.com.tw/en-us/about/news/Pages/20250730-EN.aspx,2025-07-30,high,Q2 2025 gross margin.
"FormFactor, Inc.",company_consolidated,FY2025,39.3,GAAP_gross_margin,https://www.globenewswire.com/news-release/2026/02/04/3232457/0/en/formfactor-inc-reports-2025-fourth-quarter-results.html,2026-02-04,high,FY2025 GAAP gross margin.
"FormFactor, Inc.",company_consolidated,FY2025,40.8,non_GAAP_gross_margin,https://www.globenewswire.com/news-release/2026/02/04/3232457/0/en/formfactor-inc-reports-2025-fourth-quarter-results.html,2026-02-04,high,FY2025 non-GAAP gross margin.
"Vishay Intertechnology, Inc.",company_consolidated,Q3FY2025,19.5,quarterly_gross_margin,https://ir.vishay.com/news-releases/news-release-details/vishay-intertechnology-reports-third-quarter-2025-results/,2025-11,high,Q3 2025 gross margin.
"Wolfspeed, Inc.",company_consolidated,FY2025,-16,GAAP_gross_margin,https://s29.q4cdn.com/278875087/files/doc_financials/2025/ar/2025-annual-report.pdf,2025-08,medium,FY2025 GAAP gross margin from annual report/earnings release.
"Wolfspeed, Inc.",company_consolidated,FY2025,2,non_GAAP_gross_margin,https://s29.q4cdn.com/278875087/files/doc_financials/2025/ar/2025-annual-report.pdf,2025-08,medium,FY2025 non-GAAP gross margin.
Tokyo Electron Limited,company_consolidated,FY2025,47.1,gross_profit_margin,https://www.tel.com/ir/library/report/l8gqgo00000000gl-att/fy25q4transcript-e.pdf,2025-04-30,high,FY2025 gross profit margin.
