nameCn,nameEn,objectTypeName,description
10nm,10nm,制程节点世代,先进逻辑制程节点
12nm,12nm,制程节点世代,先进逻辑制程节点，联电12nm FinFET计划2027年量产
14nm,14nm,制程节点世代,先进逻辑制程节点
16nm,16nm,制程节点世代,先进逻辑制程节点，台积电16nm FinFET（4Q15量产），三星14nm FinFET（1Q15量产）
20nm,20nm,制程节点世代,先进逻辑制程节点，台积电2014年量产，采用Planar晶体管最后一代
22nm,22nm,制程节点世代,先进逻辑制程节点，Intel 22nm（2012），三星/格芯22nm FD-SOI
28nm,28nm,制程节点世代,成熟逻辑制程节点
2nm,2nm,制程节点世代,先进逻辑制程节点（GAA时代）
3nm,3nm,制程节点世代,先进逻辑制程节点
4nm,4nm,制程节点世代,先进逻辑制程节点，三星4nm FinFET（2022年量产），台积电N4（2022年量产）
5nm,5nm,制程节点世代,先进逻辑制程节点
6nm,6nm,制程节点世代,先进逻辑制程节点，台积电6nm FinFET（3Q20量产），三星6nm LPP（4Q19量产）
7nm,7nm,制程节点世代,先进逻辑制程节点
