nameCn,nameEn,objectTypeName,description,property.record_id,property.facility_type,property.status,property.city,property.state_province,property.country,property.country_region,property.region,property.address,property.website,property.product_type,property.product_type_2,property.products,property.technology_and_materials,property.current_geometry,property.current_wafer_size,property.current_full_capacity,property.capacity_200mm_equivalent,property.cleanroom_sq_ft,property.cleanroom_class,property.facility_size,property.start_year,property.construction_year,property.first_silicon_year,property.production_year,property.data_source,property.source_sheet,source_url
CXMT (ChangXin Memory Technologies) - CXMT Hefei Fab A3,,后道工厂,"CXMT (ChangXin Memory Technologies) 的 CXMT Hefei Fab A3，位于 Hefei, Anhui, 中国。",6482,晶圆厂及后端,Constructing,Hefei,Anhui,中国,中国,亚太,388 Tianzhushan Boulevard,http://www.cxmt.com,存储器/DRAM,Memory,"DRAM (DDR4, DDR5, LPDDR5, HBM)",DRAM,0.016,12,50000,112500,,,,2028,2024,2028,2028,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.cxmt.com
Ennostar Corporation - Suzhou fab (S01),,后道工厂,"Ennostar Corporation 的 Suzhou fab (S01)，位于 Suzhou, Jiangsu, 中国。",3242,曾为晶圆厂现为后端,In production,Suzhou,Jiangsu,中国,中国,亚太,"259, Changyang St.",https://www.ennostar.com/,光电器件/LED,Opto,InGaN Epi Wafer & Chips LED,"Sapphire, SD laser, InGaN",2,,16000,,,,,2014,2010,2013,2014,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.ennostar.com/
Intel - Fab 10 (was IFO),,后道工厂,"Intel 的 Fab 10 (was IFO)，位于 Leixlip, Kildare, 爱尔兰。",404,曾为晶圆厂现为后端,In production-merged,Leixlip,Kildare,爱尔兰,Europe & Mideast,欧洲,"R148, Collinstown Industrial Park",http://www.intel.com,Foundry/IDM/MPU,Logic&Micro,"Back End, special packaging, TSV","CMOS, Cu",0.014,12,,,100000,1,645835,1994,2013,,,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.intel.com
Intel - Fab 9 (3D Advanced Packaging),,后道工厂,"Intel 的 Fab 9 (3D Advanced Packaging)，位于 Rio Rancho (Albuquerque), New Mexico, 美国。",387,曾为晶圆厂现为后端,In production,Rio Rancho (Albuquerque),New Mexico,美国,美洲,NA,4100 Sara Road Se,http://www.intel.com,Back End,Other,"3D advanced packaging technologies, glass","3D advanced packaging, glass",,12,,,40000,1,180000,1988,1997,1998,1998,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.intel.com
Kioxia/WD (was Flash Alliance) - Fab 1,,后道工厂,"Kioxia/WD (was Flash Alliance) 的 Fab 1，位于 Yokkaichi, Mie, 日本。",1134,曾为晶圆厂现为后端,In production,Yokkaichi,Mie,日本,日本,日本,"800, Yamanoissiki-Cho",,Back End,Other,Back-end,"CMOS, Cu",,8,,,80000,1,,1992,1991,1992,1992,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Kyosemi Corporation - Kamisunagawa Fab 1 (was Fab 2),,后道工厂,"Kyosemi Corporation 的 Kamisunagawa Fab 1 (was Fab 2)，位于 Sorachi-gun-Kamisunagawa-cho, Hokkaido, 日本。",3033,曾为晶圆厂现为后端,In production,Sorachi-gun-Kamisunagawa-cho,Hokkaido,日本,日本,日本,70-1 Kamisunagawa,http://www.kyosemi.co.jp/index_e.html,Assembly&Test,Other,"Assembly of LED, Module PVLaser Diode (LD) , UV Sensor","III-V: GaAs, GaP",,4,,,,,,1991,1990,1991,1991,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.kyosemi.co.jp/index_e.html
Nuvoton Technology - BIP (Backend) (was Panasonic),,后道工厂,"Nuvoton Technology 的 BIP (Backend) (was Panasonic)，位于 Nagaokakyo, Kyoto, 日本。",506,曾为晶圆厂现为后端,in production,Nagaokakyo,Kyoto,日本,日本,日本,14 Yake-Machi Kotari,http://www.nuvoton.com/hq/enu/,Back End,Discrete,Power Trans Power Diode,,2,4,30000,7500,16000,,,1995,1961,,,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.nuvoton.com/hq/enu/
Nuvotronics - Durham Fab,,后道工厂,"Nuvotronics 的 Durham Fab，位于 Durham, North Carolina, 美国。",3916,晶圆厂及后端,In production,Durham,North Carolina,美国,美洲,NA,2305 Presidential Drive,http://www.nuvotronics.com,MEMS/RF,MEMS,"Power amplifiers for RF systems, RF Filters and diplexers, MEMS and MMIC, RF switches. Technology for defense, telecom, and sensors markets.",3D-Polystrata architecture,1,8,1000,1000,11000,,40000,2013,2012,2013,2013,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.nuvotronics.com
onsemi - Nampa,,后道工厂,"onsemi 的 Nampa，位于 Nampa, Idaho, 美国。",1222,晶圆厂，后道工序,In production,Nampa,Idaho,美国,美洲,NA,1401 North Kings Road,http://www.onsemi.com,Opto/Image Sensors,Opto,Produce only the top couple layers on an CMOS Image Sensor color filter array (CFA),"Color Filter Array, Microlens, Wafer Probe",0.3,12,,,35000,10,157000,1995,1994,1995,1995,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.onsemi.com
Origin Electric - Mikasa,,后道工厂,"Origin Electric 的 Mikasa，位于 Mikasa, Hokkaido, 日本。",1447,曾为晶圆厂现为后端,in production,Mikasa,Hokkaido,日本,日本,日本,136 Okayama,http://www.origin.co.jp/  and  http://www.origin-usa.com/,Assembly&Test,Other,Assembly,Bipolar,3,4,15000,3750,15000,,,1970,1969,1970,1970,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.origin.co.jp/
